total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org
7.0,0.0,8.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,913.0,1.0,F,N
16.0,123.0,14.0,0.0,0.0,2.0,2.0,0.0,19.0,0.0,0.0,3.0,65.0,77.0,1.0,F,N
12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,206.0,480.0,1.0,M,N
20.0,108.0,11.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,466.0,773.0,0.0,M,N
9.0,111.0,15.0,0.0,2.0,4.0,1.0,0.0,2.0,1.0,14.0,2.0,948.0,831.0,1.0,F,N
7.0,29.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,5.0,18.0,0.0,M,N
17.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,101.0,1.0,F,N
10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,129.0,1.0,F,N
10.0,53.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,5529.0,888.0,3.0,M,N
7.0,42.0,8.0,0.0,0.0,5.0,0.0,0.0,9.0,1.0,0.0,1.0,162.0,582.0,1.0,F,N
15.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,32.0,0.0,M,N
3.0,51.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,4.0,16.0,1.0,F,N
12.0,6.0,12.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,18.0,0.0,F,N
17.0,68.0,15.0,0.0,0.0,5.0,1.0,0.0,12.0,4.0,0.0,2.0,0.0,34.0,0.0,F,N
10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,F,N
