total_chars_name,total_chars_description,total_chars_username,name_equals_username,total_numbers_name,total_numbers_username,total_emojis_name,total_emojis_username,total_words_description,total_emojis_description,total_numbers_description,total_words_name,followers,friends,age,gen,org,bot_score
5.0,0.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,8183.0,4356.0,2.0,M,N,2.5545846676698014
11.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,121.0,3.0,M,N,4.795758490566038
20.0,79.0,15.0,0.0,0.0,8.0,1.0,0.0,4.0,1.0,4.0,1.0,181.0,333.0,3.0,F,N,1.574529665567404
28.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,719.0,1401.0,1.0,M,N,2.3315009714956547
15.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,83.0,472.0,1.0,M,N,3.385982804232804
6.0,34.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,104.0,1.0,M,N,3.986591333080062
33.0,7.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,103.0,54.0,0.0,M,N,2.4195470501322003
18.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,8.0,0.0,F,N,3.721922529703941
14.0,97.0,15.0,0.0,0.0,0.0,1.0,0.0,16.0,4.0,0.0,2.0,267.0,861.0,2.0,M,N,0.8764496386577619
6.0,19.0,10.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,665.0,767.0,2.0,M,N,0.4465896682955877
15.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,331.0,364.0,1.0,F,N,2.1660211485133467
0.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,111.0,808.0,1.0,M,N,0.4733446612459463
16.0,106.0,13.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,107.0,448.0,1.0,M,N,1.7746230181298817
7.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,182.0,75.0,0.0,M,N,1.4452400510075054
4.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,43.0,46.0,0.0,M,N,2.0011727245398934
7.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,1.0,F,N,4.9479079070985925
7.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,441.0,1.0,F,N,2.5862117463427725
9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,32.0,3.0,M,N,4.76643030711427
26.0,131.0,11.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,3.0,3.0,101.0,51.0,3.0,U,Y,2.468332924813452
5.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,M,N,4.904775993237532
35.0,149.0,14.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,4.0,920.0,859.0,1.0,M,N,0.5022766397865014
9.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,105.0,205.0,1.0,M,N,2.0517589101090703
19.0,106.0,8.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,6.0,3.0,34.0,332.0,3.0,M,N,1.6791489698119548
11.0,57.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,2.0,387.0,1219.0,3.0,U,Y,0.8071428614285558
10.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,77.0,0.0,M,N,3.1656095878614225
